,id,tweet,clean_tweet
144,1468132822019760128,"@geloraco parebut liang????

Viral Dipukul Prajurit TNI, Begini Kondisi Terkini Polwan Polda Kalteng Bripda TNS  |
Jokowi Desember Natal Cebong Jeha Dada Bobby Kadrun rumini Shopia PPKM Makassar #DudungDungu #banjir #DukungAniesPresiden2024 #gunungsemeru #BoikotJNE https://t.co/gdDi1tEcGv",parebut liang viral pukul prajurit tni kondisi kini polwan polda kalteng bripda tns jokowi desember natal cebong jeha dada bobby kadrun rumin shopia ppkm makassar dudungdungu banjir dukunganiespresiden gunungsemeru boikotjne
145,1468132819167707136,anjenk anjenkk udah ngebooking dijbran ternyata ppkm dibatalkan huft😭,anjenk anjenkk udah ngebooking dijbran ppkm batal huft
146,1468132755884158977,"""Wanita yang paling besar berkahnya ialah wanita yang paling mudah maharnya."" (HR. Ahmad, Al-Hakim dan Al-Baihaqi)

Tag pesan : Azzam PPKM Rumini Simon Putusin Nataru jungkook https://t.co/9VBG5EnKEr",wanita berkah wanita mudah mahar hr ahmad al hakim al baihaqi tag pesan azzam ppkm rumin simon putusin nataru jungkook
147,1468132707922104328,@ArabBara2 Awas ja nanti lebaran jadi ppkm lvel 90...,awas ja lebaran ppkm lvel
148,1468132698711465986,"@CNNIndonesia Nanti habis nataru kasus covid melonjak, akhirnya wajib booster, maka diadakan ppkm level 3 pas waktu lebaran idul fitri..dengan alasan kasus meningkat..ini pendapat saya ya..",habis nataru covid lonjak wajib booster ada ppkm level pas lebaran idul fitri alas tingkat dapat ya
149,1468132690406768641,"@CNNIndonesia Dibatalin dulu biar diagram positif naik, vaksin booster jalan, pcr jalan, setelah itu di ppkm lagi",dibatalin biar diagram positif vaksin booster jalan pcr jalan ppkm
150,1468132677286989825,"Sobat Jatim, Tim SAR gabungan terus melakukan pencarian korban yang tertimbun abu vulkanik Gunung Semeru. Pagi tadi ada 5 jenazah yang ditemukan.
selengkapnya: https://t.co/fWfJo0AiRQ. #gunungsemeru #semeru #erupsisemeru Rumini Jennie #boikotJNE #PPKM #erupsi #banjir https://t.co/ZwR1HC4i7S",sobat jatim tim sar gabung cari korban timbun abu vulkanik gunung meru pagi jenazah temu lengkap gunungsemeru meru erupsisemeru rumin jennie boikotjne ppkm erupsi banjir
151,1468132664926683136,NATARU Liburnya Tahun Masehi Nggak Jadi PPKM Level 3 Dan Di Undur Ke Bulan Mei Pas Idul Fitri Dan Berlaku Juga Saat Idul Adha.,nataru libur masehi nggak ppkm level undur mei pas idul fitri laku idul adha
152,1468132659213729793,"Jelang Nataru, Pemkot Tangerang Kembali Tingkatkan Operasi Malam untuk Tertibkan Masyarakat

PPKM | Nataru

Baca Selengkapnya⬇️
https://t.co/DLihZ1IVxz",jelang nataru pemkot tangerang tingkat operasi malam tertib masyarakat ppkm nataru baca lengkap
153,1468132624774283264,PPKM HANYA BERLAKU UNTUK HARI HARI BESAR ISLAM https://t.co/nolssgJkeV,ppkm laku islam
154,1468132543929065472,"tetap pakai masker, jaga jarak, menghindari kerumunan, bijak bepergian.
#TetapMenjagaProkes
https://t.co/U7uqWggQgx",pakai masker jaga jarak hindar kerumun bijak pergi tetapmenjagaprokes
155,1468132537641750529,"Implementasi kebijakan tersebut mencakup upaya mendorong pemerintah daerah memastikan masyarakat terus disiplin protokol kesehatan dan menahan mobilitas selama libur Natal 2021 dan Tahun Baru 2022. #TetapMenjagaProkes
https://t.co/U7uqWggQgx",implementasi bijak cakup upaya dorong perintah daerah masyarakat disiplin protokol sehat tahan mobilitas libur natal tetapmenjagaprokes
156,1468132531711086592,"Hal ini harus kita waspadai, apalagi mengingat sebentar lagi kita akan memasuki periode liburan Natal dan Tahun Baru, #TetapMenjagaProkes
https://t.co/U7uqWggQgx",waspada sebentar pasuk periode libur natal tetapmenjagaprokes
157,1468132525222424576,"Pada periode 15 - 21 November 2021, lebih dari 91 persen orang terpantau mematuhi aturan menjaga jarak dan menghindari kerumunan. #TetapMenjagaProkes
https://t.co/U7uqWggQgx",periode november persen orang pantau patuh atur jaga jarak hindar kerumun tetapmenjagaprokes
158,1468132524589084674,"Kenapa Kental Manis tidak sama dengan Susu Murni?

#balitasehat #BPOM #Kemenkes #Kemensos #Deputi3badanpom #SusuKentalManis #KentalManisJanganDiseduh #KentalManis #BalitaSehat #SahabatBPOM #SeputarBPOM #PPKM #banjir https://t.co/qDKOgRdrJE",kental manis susu murni balitasehat bpom kemenkes kemensos deputi badanpom susukentalmanis kentalmanisjangandiseduh kentalmanis balitasehat sahabatbpom seputarbpom ppkm banjir
159,1468132510911451136,PPKM level 3 dibatalkan jadinya boleh niih jalan2. Keliling jateng ama jatim kliatnya boleh !;!;!,ppkm level batal niih jalan keliling jateng ama jatim kliatnya
160,1468132498647384065,@tvOneNews ppkm tra jd hore,ppkm tra jd hore
161,1468132491533774848,Mumpung ppkm lv 3 dibatalin huhu,mumpung ppkm lv dibatalin huhu
162,1468132393101844481,@marlina_idha PPKM level 3 s/d 1 pas lebaran. 🤣,idha ppkm level s d pas lebaran
163,1468132309027094529,"@AboutTNG Ada apa di batalkan nyh ppkm level 3, atau ada udang di balik batu. ??",batal nyh ppkm level udang batu
164,1468132301351518209,ppkm akhir tahun jadi ada ngga?,ppkm ngga
