id,tweet
1467874304276586498,"Bhabinkamtibmas Kel. Plombokan Kec. Smg Utara Aipda Masrukin, sambang di Kantor Kel. Plombokan Koordinasi dgn Kasi K.Sos dan Bank BNI terkait penyaluran Lanjutan Bansos Sembako PPKM Darurat 2021 Sekecamatan Smg Utara  yang akan di laksanakan hari Jumat 10 Desember 2021 https://t.co/Bu7iqKhEhi"
1467874122772279301,@LSangyyeon Apa tuh ppkm :(
1467873850360676353,"@tahub0lat Tiati keburu ppkm, gabisa balik nanti wkwk"
1467873728818139143,Sebanyak 12 wilayah di Jawa-Bali masih PPKM level 3 https://t.co/F7gJc0aarA
1467873569472331784,"Pemerintah memutuskan kembali memperpanjang PPKM sebagai upaya mengendalikan pandemi covid-19, meskipun saat ini tren kasus positif terus mengalami penurunan.
#PPKM #AirlanggaHartarto #COVID19 #Covid_19 #lampostco 
https://t.co/XGw64BPMLi"
1467873480590823431,"Dinas Sosial Jawa Barat menyalurkan bantuan sosial tunai bagi 70.664 kelompok penerima manfaat, yakni masyarakat yang terdampak Pemberlakuan Pembatasan Kegiatan Masyarakat Level 3, Level 2, dan Level 1 di Jawa-Bali di daerah itu. https://t.co/426DIKwol4"
1467873398592360452,"Oleh karena itu, pemerintah kembali melanjutkan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM) di Luar Jawa-Bali hingga tanggal 23 Desember 2021."
1467873119557746693,"@shuaxxi @caratstalk Palagi base umum kpop sama base umum rl pada tutup lagi kena ppkm, ya gue nongkrong disini lah"
1467873104147800068,Mana cakep bgt lagi difoto nya anjweng. Hv fun yaa sering sering jalan barengan sama bestie mu biar gak bosen sama sekolah.. sebelum mulai ppkm lagi jadi banyak banyak jalan sama temen 🤩
1467872483994783754,PPKM Luar Jawa Bali Diperpanjang hingga 23 Desember 2021 https://t.co/HD5kzLwhOv
1467872478777143309,@scenereyi @zrangcy Lama kok masih januari turnamen lagi. Bisa liburan natal dulu eh tapi ga boleh liburan kan mo ppkm haha semoga masalah dg kemenpora ga jelas itu cepat selesai🙏
1467872090451701761,"Vaksinasi meningkat, Luhut: PPKM level 3 tak diterapkan secara merata https://t.co/4UCBz5GIzi"
1467871839552618496,"Mana mau ppkm lagi, nasib karyawannya gmn kalo tempat kerjaannya tutup 😖 https://t.co/DIvrUEthQB"
1467871745705070598,"@kymikhy Yen emang waktu ne longgar
Bisa maju dikit ke sukoharjo, maem ayam goreng mbah karto tembel depan kejaksaan negeri sukoharjo
Sambel korek &amp; sambel blondo ne istimewa
Gudeg Ceker Margoyudan jg istimewa tp buka e jam 2 bengi yum
Mbuh yen usum PPKM isih buka po rak"
1467871719134162949,"Cuti tanggal 28, dahal udah bisa dari November tapi sengaja diundur 

Tapi ntar keknya mau dimajuin tanggal 23 deh, gegara 24 dah ppkm lvl 3"
1467871598338211840,"Evaluasi PPKM, Ini Kata Menko Perekonomian Airlangga https://t.co/xfvQPEqkmZ"
1467871193336213512,@urlovelymeow Dulu ppkm juga masih bisa keluar masuk sby :(
1467871101048877060,sertu Sampoli anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di ATM BRI Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan https://t.co/dOx1DOFTcS
1467871034602713094,sertu Sampoli anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di ATM BRI Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan https://t.co/bOdG2K8kif
1467870981498703873,sertu Sampoli anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di ATM BRI Matesih. Menghimbau dan membagikan masker kepada warga masyarakat untuk selalu mematuhi protokol kesehatan https://t.co/tEq6Ot0Cdm
1467870602551648256,"PPKM DIPERPANJANG 
#AirlanggaHartarto 
#PPKM https://t.co/5ZLWpzrvOF"
1467870602300063750,@pplesuckss ppkm
1467870222937849859,serda Said Budiono anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di Rumah bapak Sunardi warga dusun dukuh02/11 desa koripan.Menghimbau dan kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/Ep719uOAiN
1467870154474225666,serda Said Budiono anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di Rumah bapak Sunardi warga dusun dukuh02/11 desa koripan.Menghimbau dan kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/E6M1ftXyER
1467870100308971520,serda Said Budiono anggota Koramil 07/Matesih melaksanakan  PPKM level 2 di Rumah bapak Sunardi warga dusun dukuh02/11 desa koripan.Menghimbau dan kepada warga masyarakat untuk selalu mematuhi protokol kesehatan dalam beraktifitas didalam maupun diluar rumah https://t.co/hYtVe6qfKE
