date,title,clean_title
2021-12-01,Alasan Grealish Tidak Mau Main di Manchester United,alasan grealish main manchester united
2021-12-01,"Kata Luhut, Turis di Bali Paling Irit Dibanding Thailand dan Malaysia",luhut turis bali irit dibanding thailand malaysia
2021-12-01,"Hamil Jalani Pemeriksaan Polisi, Lesti Kejora: Enggak Kepikiran ",hamil jalani pemeriksaan polisi lesti kejora kepikiran
2021-12-01,10 Tips Mendekorasi Ruangan agar Lebih Nyaman dan Tertata,tips mendekorasi ruangan nyaman tertata
2021-12-01,"Cerita Kunto Aji Lalui Cobaan Berat, Tiba-tiba Sakit Ketika Ingin Wujudkan Mimpinya",cerita kunto aji lalui cobaan berat sakit wujudkan mimpinya
2021-12-01,"Besi Penutup Gorong-gorong di Margonda Dicuri, 2 Minggu Belum Diperbaiki",besi penutup gorong gorong margonda dicuri minggu diperbaiki
2021-12-01,8 Manfaat Perdagangan Internasional,manfaat perdagangan internasional
2021-12-01,Mengungkap Desain Jembatan Kretek 2 di Lokasi Rawan Gempa dan Likuifaksi,mengungkap desain jembatan kretek lokasi rawan gempa likuifaksi
2021-12-01,"2,5 Juta Warga Jakarta Belum Divaksin Covid-19 Dosis Kedua",juta warga jakarta divaksin covid dosis
2021-12-01,"Kecewa dengan Putusan Ganjar soal UMK, Buruh di Jateng Berencana Menggugat",kecewa putusan ganjar umk buruh jateng berencana menggugat
2021-12-01,BEM UI Pecat Seorang Pengurusnya Terkait Kekerasan Seksual,bem ui pecat pengurusnya terkait kekerasan seksual
2021-12-01,"Kunjungi Kapolri, Jenderal Dudung: Sowan sebagai Pejabat Baru KSAD ",kunjungi kapolri jenderal dudung sowan pejabat ksad
2021-12-01,"Hasil BWF World Tour Finals 2021: Marcus/Kevin Revans, Praveen/Melati Tumbang",hasil bwf world tour finals marcus kevin revans praveen melati tumbang
2021-12-01,"Presiden PSG Buka Suara, Mbappe Batal Hijrah ke Real Madrid?",presiden psg buka suara mbappe batal hijrah real madrid
2021-12-01,"Setelah Tidak Lagi Syuting, Putri Patricia Sempat Kerja Kantoran",syuting putri patricia kerja kantoran
2021-12-01,Australia Tunda Buka Perbatasan akibat Varian Omicron,australia tunda buka perbatasan akibat varian omicron
2021-12-01,"Hari AIDS Sedunia, Kenali Gejala HIV sejak Minggu Pertama Terinfeksi",aids sedunia kenali gejala hiv minggu terinfeksi
2021-12-01,Cara Rian D'MASIV Tetap Aktif Bermusik dan Berbisnis di Masa Pandemi ,rian d masiv aktif bermusik berbisnis pandemi
2021-12-01,"Raih Penghargaan FFI 2021, Film Nussa Bakal Tayang di Bioskop Online",raih penghargaan ffi film nussa tayang bioskop online
2021-12-01,"Pembukaan Presidensi G20, Jokowi: Saya Undang Para Delegasi Datang ke Indonesia",pembukaan presidensi g jokowi undang delegasi indonesia
2021-12-01,"Laba Konsolidasi BUMN Capai Rp 61 Triliun, Industri Keuangan Penyumbang Terbesar",laba konsolidasi bumn capai rp triliun industri keuangan penyumbang terbesar
2021-12-01,"22 Korban Penipuan Marinir Gadungan Berpangkat Mayjen Lapor ke Polisi, Kerugian Capai Rp 500 Juta ",korban penipuan marinir gadungan berpangkat mayjen lapor polisi kerugian capai rp juta
2021-12-01,6 Gejala Asam Urat yang Perlu Diwaspadai,gejala asam urat diwaspadai
2021-12-01,Kemenkes Sebut Varian Omicron Sudah Terdeteksi di 23 Negara,kemenkes varian omicron terdeteksi negara
2021-12-01,"5 Restoran Fine Dining di Bali, Cocok untuk Liburan Romantis di Bali",restoran fine dining bali cocok liburan romantis bali
2021-12-01,BWF World Tour Finals: Marcus/Kevin Senang Revans atas Juara Olimpiade,bwf world tour finals marcus kevin senang revans juara olimpiade
2021-12-01,Sampah Antariksa Berkecepatan Tinggi Bikin Astronot Gagal Spacewalk,sampah antariksa berkecepatan bikin astronot gagal spacewalk
2021-12-01,"Ayah di Ponorogo Cabuli 2 Anak Kandung Selama 8 Tahun, Pelaku Dilaporkan Istri ke Polisi",ayah ponorogo cabuli anak kandung pelaku dilaporkan istri polisi
2021-12-01,"Kota Bogor Turun ke PPKM Level 2, Kemungkinan karena Klaster PTM Terbatas",kota bogor turun ppkm level klaster ptm terbatas
2021-12-01,"Video Viral Hewan Mirip Jari Tangan, Apa Itu? Ini Penjelasan Ahli LIPI",video viral hewan jari tangan penjelasan ahli lipi
2021-12-01,5 Tanda Kucing Marah dengan Pemiliknya,tanda kucing marah pemiliknya
2021-12-01,Ini Deretan Hunian Perumnas yang Bisa Dipilih Warga Jabodetabek,deretan hunian perumnas dipilih warga jabodetabek
2021-12-01,Sikap Awal Push-up,sikap push up
2021-12-01,"Terungkap, Sopir Angkutan Barang di Medan Dibunuh Sahabatnya karena Dendam ",terungkap sopir angkutan barang medan dibunuh sahabatnya dendam
2021-12-01,"Apa itu NPWP: Pengertian, Manfaat, Jenis, dan Fungsinya",npwp pengertian manfaat jenis fungsinya
2021-12-01,Mensesneg: Untuk Pertama Kalinya Komnas Disabilitas Dibentuk,mensesneg kalinya komnas disabilitas dibentuk
2021-12-01,"Empat Hari HST Kalsel Terendam Banjir, Pengungsi Mulai Keluhkan Gatal-gatal",hst kalsel terendam banjir pengungsi keluhkan gatal gatal
2021-12-01,"Kembali Hadir, FFFest 2021 Jadi Event Kolaborasi Online Terbesar di Indonesia",hadir fffest event kolaborasi online terbesar indonesia
2021-12-01,"Tabrak Truk Fuso yang Sedang Berhenti di Bypass Bandara Lombok, Seorang Pengendara Motor Tewas",tabrak truk fuso berhenti bypass bandara lombok pengendara motor tewas
2021-12-01,"Reksadana Pasar Uang: Definisi, Keuntungan, dan Risikonya",reksadana pasar uang definisi keuntungan risikonya
2021-12-01,Cerita Warga Gunungkidul Relakan Tanahnya Ditempati SD Selama Puluhan Tahun,cerita warga gunungkidul relakan tanahnya ditempati sd puluhan
2021-12-01,"Dua Mahasiswi Unsri Kembali Jadi Korban Pelecehan Seksual, Kali Ini Dilakukan Oknum Staf Kampus",mahasiswi unsri korban pelecehan seksual kali oknum staf kampus
2021-12-01,"Dengar Pidato Cak Nun, Indro Enggan Bikin Biopik Warkop DKI ",dengar pidato cak nun indro enggan bikin biopik warkop dki
2021-12-01,Lirik dan Chord Lagu 5:15 AM - Mark Knopfler,lirik chord lagu am mark knopfler
2021-12-01,Petenis Johanna Konta Putuskan Pensiun,petenis johanna konta putuskan pensiun
2021-12-01,"SKK Migas: Perjalanan Menuju ""Net Zero Emission"" Bukan Sprint...",skk migas perjalanan net zero emission sprint
2021-12-01,"UPDATE 1 Desember: 292.143 Spesimen Terkait Covid-19 Diperiksa, Positivity Rate PCR 0,76 Persen",update desember spesimen terkait covid diperiksa positivity rate pcr persen
2021-12-01,"Hikmah Raditya Dika soal Khawatirkan Masa Depan, Akhirnya Siapkan Dana Pensiun",hikmah raditya dika khawatirkan siapkan dana pensiun
2021-12-01,"ODGJ yang Bakar Rumah Warga di Blitar Pernah Bunuh Orang, Camat: Sampai Ditolak Panti Rehabilitasi",odgj bakar rumah warga blitar bunuh orang camat ditolak panti rehabilitasi
2021-12-01,Apindo Karawang: UMK 2022 hanya Berlaku untuk Karyawan yang Belum Setahun Kerja,apindo karawang umk berlaku karyawan setahun kerja
