date,title,clean_title
2021-12-01,"Hasil Drawing Kejuaraan Dunia Badminton 2021, 6 Wakil Indonesia Dapat ""Bye""",hasil drawing kejuaraan dunia badminton wakil indonesia bye
2021-12-01,"Cegah Predator Seksual di Game Online, Pimpinan Komisi X Usul Fitur Chat Dimatikan",cegah predator seksual game online pimpinan komisi x usul fitur chat dimatikan
2021-12-01,"Hari AIDS Sedunia, Twitter Luncurkan Notifikasi Khusus HIV di Indonesia",aids sedunia twitter luncurkan notifikasi khusus hiv indonesia
2021-12-01,"PPKM Level 3 di Tangsel, Anak 12 Tahun ke Bawah Dilarang Masuk Mal dan Bioskop",ppkm level tangsel anak dilarang masuk mal bioskop
2021-12-01,Lirik Lagu let you - iann dior,lirik lagu let you iann dior
2021-12-01,"Pemerintah Bakal Kembali Terbitkan SKB 4 Menteri, Perjelas Ketentuan soal PTM Terbatas",pemerintah terbitkan skb menteri perjelas ketentuan ptm terbatas
2021-12-01,Densus 88 Sita Senapan M16 dan 124 Peluru dari Terduga Teroris di Sulsel,densus sita senapan m peluru terduga teroris sulsel
2021-12-01,"Foto Viral Pasutri Naik Motor hingga Menara Eiffel, Begini Ceritanya",foto viral pasutri motor menara eiffel ceritanya
2021-12-01,Momen Indro Satukan Lagi Warkop DKI Setelah Kasino dan Dono Tak Bicara 3 Tahun ,momen indro satukan warkop dki kasino dono bicara
2021-12-01,Pil Covid Molnupiravir Merck Akhirnya Kantongi Izin FDA,pil covid molnupiravir merck kantongi izin fda
