Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4434497883953875
75% Corpus,2,0.01,0.31,0.46178640305328456
75% Corpus,2,0.01,0.61,0.43853366834704177
75% Corpus,2,0.01,0.9099999999999999,0.3978611143121359
75% Corpus,2,0.01,symmetric,0.4425277518315891
75% Corpus,2,0.31,0.01,0.4761667194839524
75% Corpus,2,0.31,0.31,0.5116271310787273
75% Corpus,2,0.31,0.61,0.45251263002684894
75% Corpus,2,0.31,0.9099999999999999,0.4500036168012723
75% Corpus,2,0.31,symmetric,0.4814057344077787
75% Corpus,2,0.61,0.01,0.4402740414126305
75% Corpus,2,0.61,0.31,0.45293929412065226
75% Corpus,2,0.61,0.61,0.5023296352536928
75% Corpus,2,0.61,0.9099999999999999,0.5023296352536928
75% Corpus,2,0.61,symmetric,0.5003151209723313
75% Corpus,2,0.9099999999999999,0.01,0.45393949116373933
75% Corpus,2,0.9099999999999999,0.31,0.45119874517593617
75% Corpus,2,0.9099999999999999,0.61,0.4791711003914835
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4677164802470924
75% Corpus,2,0.9099999999999999,symmetric,0.4612948725669245
75% Corpus,2,symmetric,0.01,0.4362560040657146
75% Corpus,2,symmetric,0.31,0.45325649286719827
75% Corpus,2,symmetric,0.61,0.49953101196138033
75% Corpus,2,symmetric,0.9099999999999999,0.5023296352536927
75% Corpus,2,symmetric,symmetric,0.49850874165008363
75% Corpus,2,asymmetric,0.01,0.381860942104571
75% Corpus,2,asymmetric,0.31,0.30518427648490803
75% Corpus,2,asymmetric,0.61,0.30518427648490803
75% Corpus,2,asymmetric,0.9099999999999999,0.320743797099072
75% Corpus,2,asymmetric,symmetric,0.30518427648490803
75% Corpus,3,0.01,0.01,0.46212824824622917
75% Corpus,3,0.01,0.31,0.45071006952147075
75% Corpus,3,0.01,0.61,0.48569060700614614
75% Corpus,3,0.01,0.9099999999999999,0.45033426316615843
75% Corpus,3,0.01,symmetric,0.4278662629284984
75% Corpus,3,0.31,0.01,0.4559673375957054
75% Corpus,3,0.31,0.31,0.4442566634653124
75% Corpus,3,0.31,0.61,0.3700429127104122
75% Corpus,3,0.31,0.9099999999999999,0.3665743812570659
75% Corpus,3,0.31,symmetric,0.4442566634653124
75% Corpus,3,0.61,0.01,0.4550222734798128
75% Corpus,3,0.61,0.31,0.4695351552243781
75% Corpus,3,0.61,0.61,0.4619584515731079
75% Corpus,3,0.61,0.9099999999999999,0.4627724874859435
75% Corpus,3,0.61,symmetric,0.47504509164745645
75% Corpus,3,0.9099999999999999,0.01,0.44581581096411727
75% Corpus,3,0.9099999999999999,0.31,0.48335408851447353
75% Corpus,3,0.9099999999999999,0.61,0.45913529894066224
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4759324683178702
75% Corpus,3,0.9099999999999999,symmetric,0.48335408851447353
