created_at,author_id,tweet,retweet,reply,like,quote
2021-12-03 16:12:36+00:00,1284687139779653632,@winmetawinn_ Emang masih ppkm?,0,1,0,0
2021-12-03 16:09:54+00:00,1534091454,@dantyardiana2 @sandiktm_ Sidane kapan rabine? Selak ppkm,0,1,0,0
2021-12-03 16:05:22+00:00,2341504536,@RagilSemar Yg masih PPKM matane picek. Di luaran orang sudah hidup normal. Jalanan macet. Mal rame. Tapi sekolah masih setengah-setengah. Melanggengkan generasi dungu.,0,0,1,0
2021-12-03 16:03:03+00:00,1012956768,"@BIB_Japuk Kerjaan aman om , semoga aja gak ada ppkm lagi ,biar uangnya aman juga hihi",0,1,0,0
2021-12-03 16:01:37+00:00,200632494,"Pemerintah DKI Jakarta rencananya akan menaikkan level PPKM ke level tiga pada 24 Desember 2021 sampai 2 Januari 2022 mendatang.
https://t.co/at4PXU3NQ2 https://t.co/7dESkKqhdl",0,0,0,0
2021-12-03 16:00:57+00:00,981535116492029953,@SINDOnews Gausah ppkm,0,0,0,0
2021-12-03 16:00:45+00:00,172425532,"elang PPKM Level 3 saat Nataru, Berikut Arahan Jubir COVID-19 Riau

#beritaRIAU via @MCRiau: https://t.co/1K4gYwUv98",0,0,0,0
2021-12-03 16:00:10+00:00,1279956647914299392,Apel ops yustisi ppkm level 2 di halaman Polsek Cilandak Jln Caringin Utara No.1 Cilandak Barat Jakarta Selatan https://t.co/I6xjMl0PTX,0,0,0,0
2021-12-03 16:00:03+00:00,1040449533631651840,"Pemerintah Terapkan PPKM Level 3, Gibran Tetap Ajak Masyarakat Berwisata ke Solo

Baca selengkapnya disini
https://t.co/rrwgIqePEh

#MataIndonesia #PPKMLevel3 #GibranRakabumingRaka #Berwisata #Solo",0,0,0,0
2021-12-03 15:56:03+00:00,1462508096345890820,@inezaul Gak sekalian PPkm,0,0,0,0
2021-12-03 15:55:16+00:00,210029303,@geami__ Ditiadakan soalnya lagi ppkm,0,1,0,0
2021-12-03 15:55:04+00:00,788744100,"Momen Nataru 2022 Pemerintah Terapkan PPKM Level 3, Ini Tanggapan ASITA Riau https://t.co/jbxHXOBqsm",0,0,0,0
2021-12-03 15:54:31+00:00,1874710220,"Check out a great #article Jelang PPKM Level 3 saat Nataru, Berikut Arahan Jubir COVID-19 Riau https://t.co/PVSFF5RtcX",0,0,0,0
2021-12-03 15:52:55+00:00,2374359775,@slnophill ga ppkm emang?,0,1,0,0
2021-12-03 15:52:21+00:00,1435633788822843400,"@rizalhs_ Titipan para taipan gaess mknya pake alasan  covid,, jgn prcaya ma pmrintah , skarang rakyatnya dah hampir nurut smua kok,diwajibkan vaksin kita ikut, Ppkm ayo aja,smua diTurutin kok , diikutin, kita yang krja kantoran cma mau istirahat dirumah/kost, kok smpe Sgtu nya, dzalim bgt",0,0,0,0
2021-12-03 15:48:03+00:00,1063485730729615361,LIBUR SEKOLAH Bakal Tergeser Kebijakan PPKM https://t.co/7aEP4N9i3l,0,0,0,0
2021-12-03 15:47:43+00:00,1363108375123255299,"@priakumisen @Siantar72 @P_Eneste @andrian46063573 @LSiahaan29 @SisiwittFrida @AgusYudhoyono @RyaWiedy @Kingdarius102 @rolfStebbens4 @SAPAR752 @marsianus1803 @mangunsong63 @jansen_jsp Ni aku persembahkan segala gelar yang kau ingin kangmas Prof. Dr. dr. drg. Ir. Ubanitem, ST, SE. M.Eng, M.MedSci., MM, SPOg, SPBU, SPSS, PSBB, PPKM

Cukup nggih ... 🤔🤔🤔",0,2,6,1
2021-12-03 15:47:42+00:00,924973034615615488,Lampu Jalan Mati ft. Embong Rusak &amp; Terong²an Balap - Ambyar Mak Pyar (dari Album PPKM Level Entahlah),0,0,0,0
2021-12-03 15:46:56+00:00,231355136,"Dampak PPKM Ketat Libur Nataru, Bisa Redam Gejolak Inflasi

 #Sindonews #BukanBeritaBiasa .https://t.co/GzVbxvUjxT",0,1,0,0
2021-12-03 15:44:40+00:00,1207338839716401153,"@ppkm_id Ya Allah semoga bisa hadir :"" Nyesel banget aku kemarin melewatkan PPKM#8",0,0,1,0
2021-12-03 15:40:50+00:00,1438054360613752833,@Imistyping1 Blm beb .. mau ppkm juga.. coba alah pertngahn aq jakrta y,0,1,0,0
2021-12-03 15:39:53+00:00,3285756164,"@Askrlfess Kehilangan suami pas bulan Juni kemarin, sampe sekarang gw ngeliat berita PPKM suka ketawa sendiri, ini PPKM sama pernikahan gw lebih awet PPKM. Padahal dalam hati mah nangis, the worst thing about grief is ada bagian dari diri kita yang ikut mati, but sadly i'am still alive.",0,0,0,0
2021-12-03 15:39:50+00:00,1420613542152077313,Patroli ppkm gabungan 3 pilar menghimbau pedagang dan pembelo untuk tetap menerapkan prokes dan sesuaikan jam operasional https://t.co/ONDyTRW9If,0,0,0,0
2021-12-03 15:38:37+00:00,1420613542152077313,Patroli ppkm gabungan 3 pilar menghimbau pedagang kaki lima untuk tetap menerapkan prokes dan sesuaikan jam operasional https://t.co/KofhSBFZ7R,0,0,0,0
2021-12-03 15:38:02+00:00,1420613542152077313,Patroli ppkm gabungan 3 pilar menghimbau karyawan rumah makan untuk tetap menerapkan prokes kepada karyawan dan pengunjung. https://t.co/ImuE9L2wMi,0,0,0,0
2021-12-03 15:37:57+00:00,1451073161848451072,"@astroboist8 Iyah ini aja suruh kesana terus, gara2 ppkm sama kerjaan jadinya blm sempet aja kesana",0,0,0,0
2021-12-03 15:37:09+00:00,703224221032288256,baru kali ini belum punya rencana libuan gara gara ppkm biasanya si gara gara ga punya uang,0,0,0,0
2021-12-03 15:34:06+00:00,155169715,"PPKM Level 3 Nataru, Satgas Jaga Tangga Awasi Pemudik Masuk Solo https://t.co/NYc2RFzfQc https://t.co/uP1ceSmgUD",0,0,0,0
2021-12-03 15:32:25+00:00,237319788,"Update : Rekap Data Implementasi PPKM

Zonasi Pengendalian Covid-19 di Tingkat Rukun Tetangga dari 75 Kalurahan, se Kabupaten Bantul.

40 Kalurahan Nol Kasus.

#PPKMLevelDua3Desember2021 https://t.co/C9nBTEhFgo",1,0,3,0
2021-12-03 15:31:51+00:00,1258623551747190786,"@Dennysiregar7 Kan tolol...satu sisi dilarang berkerumun alasannya masih PPKM...sisi lain boleh, apa karna cebong piaraan rezim gitu🤭

Rezim tolol ketakutan🤣🤣🤣",0,0,0,0
2021-12-03 15:31:15+00:00,531872603,"@intanorii Koper
padahal mau PPKM 🤦‍♀️",0,0,0,0
2021-12-03 15:30:50+00:00,941189958966026240,"(03/12) Operasi Yustisi gabungan bersama TNI-POLRI dalam rangka PPKM Level 2 guna pencegahan dan pengendalian Covid-19 di Kabupaten Rembang.

@ganjarpranowo @TajYasinMZ @bupati_rbg @GusHanies @HumasRembang @humasjateng @satpolpp_jateng https://t.co/CWbNOn3urc",0,0,1,0
2021-12-03 15:28:29+00:00,986803535823093760,"Bhabinkamtibmas Penggaron Lor Bripka Zaenal Arifin Bersama 3 Pilar Kegiatan Patroli dan PPKM Level 1 di Jl.Wolter Monginsidi Himbau Warga Patuhi Protokol Kesehatan 5M Bersama Cegah Covid-19 

@DivHumas_Polri
@bidhumasjateng
@HumasTabesSmg https://t.co/teoc8ktxBO",0,0,1,0
2021-12-03 15:27:56+00:00,1122161575803019264,"Diam menjalani ppkm
Bergerak menjadi Pria Pemberani Kesayangan Mertua https://t.co/lJZwMIPouV",0,0,0,0
2021-12-03 15:27:44+00:00,1003718578976092163,Kapolsek Sukra Pimpin Penerapan PPKM Level 2 Dalam Bentuk Kegiatan Ops Non Yustisi Berupa Himbauan dan Teguran Lisan Guna Pencegahan Penyebaran Covid-19 https://t.co/S0Lh1pDUdb,0,0,0,0
2021-12-03 15:26:32+00:00,1397952777435828226,"@actorvijay #29YrsOfVIJAYSupremacy

#Beast  @actorvijay ppkm",3,0,0,0
2021-12-03 15:26:16+00:00,1408380013104140296,@pacarjungkO0k bismillah katanya ppkm dilanjutkan sampe hari kiamat,0,1,0,0
2021-12-03 15:25:56+00:00,1299584080531472384,Aku suka ppkm without pp https://t.co/0H8SiBlBHK,0,0,0,0
2021-12-03 15:25:55+00:00,2340293786,@astrooobboyy Gajadi ppkm,0,1,0,0
2021-12-03 15:25:26+00:00,1354434756,Wkwkwk. Seketika 3 club spanyol aneh liat plang PPKM 🤣 https://t.co/guf4FDQs1A,0,0,0,0
2021-12-03 15:24:49+00:00,1128641112678121472,@indahhd_ aaaa ppkm,0,1,0,0
2021-12-03 15:24:36+00:00,126809924,"Bikin gig tepat waktu kunci e 1, ppkm",0,0,0,0
2021-12-03 15:24:06+00:00,180378808,td dress aku ketat bgt kaya ppkm bulan juli,0,0,0,0
2021-12-03 15:23:47+00:00,1228536775565406208,"@ag_njk Ora oleh tanggapan ah, PPKM. Ewayang ning TV ewae.",0,0,1,0
2021-12-03 15:22:00+00:00,3142052640,"*INFORMASI*

Sebagai info untuk Warga  yg akan keluar/masuk wonogiri dan sekitarnya selama pelaksanaan  PPKM Level 3 Nataru ( Natal Tahun Baru) yg diberlakukan mulai tgl 24 Desember 2021 sampai dengan 2 Januari 2022
ada 75 titik  yg perlu diperhatikan.

↘️",0,1,3,0
2021-12-03 15:18:00+00:00,1288996251682238464,@xoxotreasure12 @treasuremembers Iya Na.. tinggal nunggu kelar ppkm desember aja 🤣,0,0,0,0
2021-12-03 15:17:09+00:00,977417503071641601,"Bhabinkamtibmas Kel. Kuningan Kec. Semarang Utara Aipda Ivan Suyana bersama Lurah., Seklur dan staf jg Bhabinsa melaksanakan rapat koordinasi dlm rangka evaluasi dan peningkatan kinerja dlm rangka Natal dan Tahun baru   rengiat akan diberlakukan PPKM Level 3 dikota Semarang https://t.co/wPcz6rQdp1",0,0,0,0
2021-12-03 15:16:56+00:00,1289975757125505025,Kayaknya emang penghuni twitter sekarang pada jarang active ya karena sibuk rl semua. Dulu ppkm menyatukan kita 😂😂😂,0,0,0,0
2021-12-03 15:16:51+00:00,940610004331012096,"PPKM Level 3 Nataru di Sumut Dijaga 11.456 Personel 
https://t.co/4xqbMQdKP0
#PPKMNataru
#ppkm 
#Nataru
#Sumut
#PPKMLevel3",1,0,0,0
2021-12-03 15:14:57+00:00,62468709,"Pemerintah Jokowi akan segera memberlakukan PPKM Level 3. Salah satu yg tdk terpengaruh adalah angkutan logistik, yg tdk terkena pembatasan. https://t.co/8GZOlgpZIX",0,0,2,0
